0.588,0.384,,/Users/lordvile/Documents/Music/Songs/Hailee+Steinfeld+-+Most+Girls+(Audio).mp3,,,,,,,,,
0.801,0.794,,/Users/lordvile/Documents/Music/Songs/Rita Ora - I Will Never Let You Down.mp3,,,,,,,,,
0.863,0.432,,/Users/lordvile/Documents/Music/Songs/Won't Look Back - Duke Dumont.mp3,,,,,,,,,
0.926,0.576,,/Users/lordvile/Documents/Music/Songs/Fall Out Boy - Death Valley.mp3,,,,,,,,,
0.639,0.675,,/Users/lordvile/Documents/Music/Songs/Burak Yeter - Tuesday ft. Danelle Sandoval.mp3,,,,,,,,,
0.584,0.677,,/Users/lordvile/Documents/Music/Songs/Milky Chance - Stolen Dance (Album Version).mp3,,,,,,,,,
0.879,0.83,,/Users/lordvile/Documents/Music/Songs/Ariana Grande - The Way ft. Mac Miller.mp3,,,,,,,,,
0.185,0.181,,/Users/lordvile/Documents/Music/Songs/Finding Hope - Loveless (Lyric Video).mp3,,,,,,,,,
0.765,0.86,,/Users/lordvile/Documents/Music/Songs/Just Water - What We Need Is Some Rock - 1975 Version.mp3,,,,,,,,,
0.835,0.88,,/Users/lordvile/Documents/Music/Songs/Fort Minor - Remember The Name (feat. Styles Of Beyond).mp3,,,,,,,,,
0.41,0.112,,/Users/lordvile/Documents/Music/Songs/The Tunnels - We Are Infinite.mp3,,,,,,,,,
0.721,0.393,,/Users/lordvile/Documents/Music/Songs/Fat Joe & Remy Ma feat. French Montana - All The Way Up.mp3,,,,,,,,,
0.803,0.233,,/Users/lordvile/Documents/Music/Songs/David Guetta feat. Sia - Titanium (feat. Sia).mp3,,,,,,,,,
0.763,0.742,,/Users/lordvile/Documents/Music/Songs/Clean_Bandit_-_Rockabye_ft_Sean_Paul_Anne-Marie_Official_Video[GreenMP3.com].mp3,,,,,,,,,
0.694,0.576,,/Users/lordvile/Documents/Music/Songs/Zedd Feat. Bright Lights - Follow You Down.mp3,,,,,,,,,
0.927,0.549,,/Users/lordvile/Documents/Music/Songs/Locash - I Love This Life.mp3,,,,,,,,,
0.816,0.678,,/Users/lordvile/Documents/Music/Songs/Once upon a time in America ♫ - 08 Cockeyes song.mp3,,,,,,,,,
0.702,0.284,,/Users/lordvile/Documents/Music/Songs/Ariana Grande - Break Free ft. Zedd.mp3,,,,,,,,,
0.796,0.251,,/Users/lordvile/Documents/Music/Songs/Brooke Candy - Living Out Loud (Lyric Video) ft. Sia.mp3,,,,,,,,,
0.942,0.703,,/Users/lordvile/Documents/Music/Songs/Social Distortion- Ring of Fire.mp3,,,,,,,,,
0.704,0.255,,/Users/lordvile/Documents/Music/Songs/Faul & Wad Ad,,,,,,,,,
0.803,0.221,,/Users/lordvile/Documents/Music/Songs/Kanye West - All Of The Lights ft. John Legend,,, Tony Williams, Charlie Wilson, Elly Jackson, Alicia Keys, Fergie, KiD CuDi,Rihanna & Elton John_Tags_5S.mp3
0.654,0.193,,/Users/lordvile/Documents/Music/Songs/Gwen Stefani - Used To Love You.mp3,,,,,,,,,
0.883,0.448,,/Users/lordvile/Documents/Music/Songs/You're Gone - Something Corporate lyrics.mp3,,,,,,,,,
0.912,0.302,,/Users/lordvile/Documents/Music/Songs/Thirty Seconds To Mars - Live Like A Dream (Lyrics Video).mp3,,,,,,,,,
0.76,0.421,,/Users/lordvile/Documents/Music/Songs/Illenium feat. Joni Fatora - Fortress.mp3,,,,,,,,,
0.77,0.298,,/Users/lordvile/Documents/Music/Songs/Clean Bandit -  Tears ft. Louisa Johnson [Official Video].mp3,,,,,,,,,
0.71,0.965,,/Users/lordvile/Documents/Music/Songs/Foster The People - Pumped up Kicks.mp3,,,,,,,,,
0.832,0.7,,/Users/lordvile/Documents/Music/Songs/JUSTIN TIMBERLAKE - CANT STOP THIS FEELING (Mp3FB.com).mp3,,,,,,,,,
0.665,0.957,,/Users/lordvile/Documents/Music/Songs/I Got You ÔÇö feat. K.J. Apa Hayley Law  Riverdale 1x06 Sondtrack [HD].mp3,,,,,,,,,
